video,label,elbow_mean_idle,straight_ratio_idle,tripod_ratio,com_over_base_ratio,wall_dist_idle,wall_dist_move,wall_push_ratio,jerk_move,leg_drive_ratio,_n_frames,_n_moves,_idle_frames
E00.mp4,expert,122.2196642517551,0.3288912579957356,0.1224229155263638,0.4896916621054552,0.04061552950136197,0.04681024895355239,1.1525206738170422,0.3876010919707671,0.508819124631269,5481,48,3752
E01.mp4,expert,133.22172774342786,0.34417344173441733,0.26222222222222225,0.7533333333333333,0.12974502824953418,0.1669515855614998,1.2867666294907367,1.1783062083873397,0.43855270397559726,450,3,369
E02.mp4,expert,109.22501491123906,0.10887096774193548,0.5457317073170732,0.6554878048780488,0.032344212447008996,0.03318150026765371,1.0258864723681782,0.11579353391520508,0.6856090865749034,328,5,248
E03.mp4,expert,133.14398708037677,0.37037037037037035,0.1568627450980392,0.0,0.12799218983743216,0.11401797331621916,0.8908197019899479,0.06696063810967195,0.2937967277387443,357,4,270
E04.mp4,expert,127.9886406367581,0.4212962962962963,0.0,0.0,0.08879394168702906,0.0827605283281197,0.9320514151664824,0.007832215089078288,0.5326660278235544,310,3,216
E05.mp4,expert,117.76136958869712,0.22448979591836735,0.0,0.2980769230769231,0.09144986658508253,0.08365653270989781,0.9147801597311727,0.2681914678064991,0.12840130575931594,624,2,588
E06.mp4,expert,149.10832967528003,0.6473429951690821,0.41397849462365593,0.46774193548387094,0.17048371682713354,0.17209616585918996,1.009458023132562,0.006274638362713394,0.5744522407813858,372,6,207
E07.mp4,expert,141.25045924976126,0.5610278372591007,0.03339882121807466,0.9666011787819253,0.19195521255733775,0.18429204497674773,0.9600783063961649,0.19363081444323565,0.6129473870708562,509,3,467
E08.mp4,expert,156.59798668251972,0.7398373983739838,0.04106776180698152,0.4209445585215606,0.14403870828814472,0.19913701022937688,1.38252417541657,0.014603619640657088,0.5089019038152055,487,2,369
E09.mp4,expert,147.79146630693293,0.6535947712418301,0.1305753070458953,0.40077569489334197,0.05848486625079705,0.035419946385094145,0.6056257387500487,0.2579104546313926,0.522414326579254,1547,13,1224
E10.mp4,expert,132.61507202652973,0.3832258064516129,0.18596491228070175,0.3824561403508772,0.12446240910328128,0.1745777944244089,1.4026546782731335,0.4353961220924667,0.3448349050655119,855,4,775
E11.mp4,expert,117.62404199551105,0.18085106382978725,0.014652014652014652,0.706959706959707,0.16734629311717347,0.08399549520539586,0.5019262071572829,0.02037358819655438,0.4928020496104099,546,2,470
E12.mp4,expert,158.53505881838967,0.7852112676056338,0.012254901960784314,0.4338235294117647,0.06745390084557655,0.0523228115884878,0.775682401992545,0.5335861329445133,0.2077390744793014,408,7,284
E13.mp4,expert,141.9074627088067,0.5513307984790875,0.0,0.0,0.06370053049524484,0.08827866035241995,1.3858384821555767,1.5115029762370795,0.13631953853884776,336,1,263
E14.mp4,expert,136.23348732875863,0.41605839416058393,0.4460580912863071,0.7302904564315352,0.12847206320474602,0.06525419811169059,0.5079251582380471,0.28389484287388683,0.13404179498799257,482,2,274
E15.mp4,expert,114.35639738221751,0.19290465631929046,0.3075601374570447,0.3333333333333333,0.14336667178936863,0.13910866586729975,0.9702998223232602,0.06483405062819206,0.5810874857103417,582,5,451
E16.mp4,expert,140.57840913918392,0.4631578947368421,0.36853002070393376,0.7122153209109731,0.10174656077525289,0.040551778471597924,0.39855670970152296,0.09217233831923147,0.2332290656684177,483,4,380
E17.mp4,expert,153.83103282425716,0.7372013651877133,0.0,0.05167173252279635,0.17611317020760747,0.1849630297962271,1.0502509214709947,0.05945723559573404,0.35307615262670144,329,2,293
E18.mp4,expert,128.94275653053577,0.25333333333333335,0.45454545454545453,0.7818181818181819,0.08944400473534077,0.1348819620673147,1.5080043361919966,0.008400267400277805,0.408476700734948,330,4,225
E19.mp4,expert,133.9424767795662,0.4081272084805654,0.08978328173374613,0.6780185758513931,0.12667065393179464,0.11837439402659948,0.9345051991701706,0.11074447639304397,0.26160661812930536,646,5,566
E20.mp4,expert,144.8932596690348,0.4765625,0.04789272030651341,0.60727969348659,0.13192304119415152,0.11394191067369579,0.8636997828833353,0.20298987878614444,0.21182502704481412,522,3,384
E21.mp4,expert,159.98514134069495,0.7754237288135594,0.02680965147453083,0.09651474530831099,0.14724706925812697,0.1230112846957144,0.835407298504531,0.2016074808187534,0.6589601029642154,373,4,236
E22.mp4,expert,151.53264343001692,0.6886075949367089,0.5086505190311419,0.7768166089965398,0.12960645324709244,0.10587397939531794,0.8168881145492803,0.011113859096517468,0.352847140524044,578,10,395
E23.mp4,expert,148.45640276967956,0.5454545454545454,0.0,0.0,0.10109067654284977,0.21121884339488864,2.089399633321892,0.0588211789756701,0.2526446462351862,444,2,275
E24.mp4,expert,121.63112306915744,0.20434782608695654,0.1514360313315927,0.4164490861618799,0.12237226981644221,0.12285217819668072,1.0039216265395918,0.004876850989819577,0.5274710782684198,766,8,460
E25.mp4,expert,110.69802872994869,0.16417910447761194,0.40634441087613293,0.716012084592145,0.13662117019224326,0.09052082839296904,0.662568045932518,0.015877810878406794,0.6577495365583972,662,3,536
E26.mp4,expert,151.27230806674348,0.634703196347032,0.0,0.5328947368421053,0.044189566519760824,0.05965419620577831,1.3499608030663515,0.020255040168102048,0.8241914916280775,304,5,219
